position,song,artist,popularity,album_type,total_track,release_date
3,un x100to,Grupo Frontera & Bad Bunny,100,single,1,17-04-2023
4,Cupid - Twin Ver.,FIFTY FIFTY,98,single,3,24-02-2023
5,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
6,Flowers,Miley Cyrus,91,album,13,10-03-2023
7,Daylight,David Kushner,97,single,1,14-04-2023
8,Kill Bill,SZA,94,album,23,08-12-2022
9,As It Was,Harry Styles,92,album,13,20-05-2022
10,Acróstico,Shakira,89,single,1,11-05-2023
11,TQG,KAROL G,96,album,17,24-02-2023
12,Angel Pt. 1,Fast & Furious: The Fast Saga & Jimin & BTS,83,single,2,17-05-2023
13,Classy 101,Feid & Young Miko,96,single,1,31-03-2023
14,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,album,15,02-12-2022
15,Calm Down (with Selena Gomez),Rema,79,album,22,27-04-2023
16,BESO,ROSALÍA & Rauw Alejandro,96,single,3,24-03-2023
17,See You Again (feat. Kali Uchis),Tyler The Creator,94,album,14,21-07-2017
18,Die For You (with Ariana Grande) - Remix,The Weeknd,88,album,21,14-03-2023
19,TQM,Fuerza Regida,83,single,1,19-05-2023
20,El Azul,Junior H & Peso Pluma,95,single,1,10-02-2023
21,Yandel 150,Yandel,90,album,17,13-01-2023
22,Tattoo,Loreen,92,single,1,25-02-2023
23,PRC,Peso Pluma & Natanael Cano,96,single,1,23-01-2023
24,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,96,single,2,03-02-2023
25,I Wanna Be Yours,Arctic Monkeys,94,album,12,09-09-2013
26,All My Life (feat. J. Cole),Lil Durk & J. Cole,89,single,1,12-05-2023
27,Angels Like You,Miley Cyrus,92,album,15,27-11-2020
28,Last Night,Morgan Wallen,89,album,36,03-03-2023
29,Anti-Hero,Taylor Swift,94,album,13,21-10-2022
30,Say Yes To Heaven,Lana Del Rey,85,single,2,19-05-2023
31,Die For You,The Weeknd,91,album,18,24-11-2016
32,Cruel Summer,Taylor Swift,92,album,18,23-08-2019
33,I'm Good (Blue),David Guetta & Bebe Rexha,94,single,2,26-08-2022
34,Here With Me,d4vd,94,single,1,22-09-2022
35,Bite Me,ENHYPEN,77,single,6,22-05-2023
36,Another Love,Tom Odell,63,album,10,17-06-2013
37,Moonlight,Kali Uchis,87,album,15,03-03-2023
38,People,Libianca,92,single,1,06-12-2022
39,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,95,single,1,24-11-2022
40,golden hour,JVKE,90,album,12,23-09-2022
41,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,93,single,1,22-04-2022
42,Starboy,The Weeknd,93,album,18,25-11-2016
43,I Ain't Worried,OneRepublic,55,album,18,15-02-2023
44,La Bachata,Manuel Turizo,87,album,15,17-03-2023
45,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé & Kendrick Lamar,77,single,1,19-05-2023
46,Unholy (feat. Kim Petras),Sam Smith,86,album,13,27-01-2023
47,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,94,single,1,11-01-2023
48,Frágil,Yahritza Y Su Esencia & Grupo Frontera,90,single,1,07-04-2023
49,Yellow,Coldplay,91,album,10,10-07-2000
50,Por las Noches,Peso Pluma,93,single,1,11-06-2021
1,Ella Baila Sola,Eslabon Armado,91,album,16,28-04-2023
2,WHERE SHE GOES,Bad Bunny,92,single,1,18-05-2023
3,un x100to,Grupo Frontera & Bad Bunny,100,single,1,17-04-2023
4,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
5,Cupid - Twin Ver.,FIFTY FIFTY,98,single,3,24-02-2023
6,Flowers,Miley Cyrus,91,album,13,10-03-2023
7,Daylight,David Kushner,97,single,1,14-04-2023
8,Kill Bill,SZA,94,album,23,08-12-2022
9,As It Was,Harry Styles,92,album,13,20-05-2022
10,TQG,KAROL G,96,album,17,24-02-2023
11,Classy 101,Feid & Young Miko,96,single,1,31-03-2023
12,Acróstico,Shakira,89,single,1,11-05-2023
